Component_ID,Device_Count,Device_List,vendor_state,vendor_detail,device_type_state,device_type_detail,Device,device_vendor,device_type,Remote_IP,Remote_Port,Protocol,Domain_A,Domain_PTR,Remote_domain_best,Sequence_Up,Sequence_Down,Original_Index,Service_Orig,Infra_Orig,Service_Norm,Infra_Norm,Service_Evidence,Infra_Evidence,Is_Strict_Implicit,Consistent_Layers,Cluster_Val_IP,Cluster_Val_Service,Cluster_Val_Infra,Num_Flows,Num_Devices,Num_Vendors,
Comp_05989,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our2,lg,TV,35.164.85.119,,TCP,,ec2-35-164-85-119.us-west-2.compute.amazonaws.com,ec2-35-164-85-119.us-west-2.compute.amazonaws.com,"[74.0, 74.0, 66.0, 66.0, 583.0, 583.0, 66.0, 66.0, 384.0, 384.0, 1186.0, 1186.0]","[74.0, 74.0, 66.0, 66.0, 1161.0, 1161.0, 117.0, 117.0, 346.0, 346.0, 97.0, 97.0, 66.0]",36563,,ec2-35-164-85-119.us-west-2.compute.amazonaws.com,,ec2-35-164-85-119.us-west-2.compute.amazonaws.com,,,FALSE,,,,,3,3,2,战略合作
Comp_06374,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",Amazon Echo Gen2_Our,amazon,Speaker,52.10.65.197,,TCP,,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,"[74.0, 66.0, 583.0, 66.0, 384.0, 1186.0]","[74.0, 66.0, 1161.0, 117.0, 845.0, 97.0, 66.0]",17964,,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,,,FALSE,,,,,3,3,2,战略合作
Comp_06374,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our,lg,TV,52.42.194.252,,TCP,,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,"[74.0, 66.0, 583.0, 66.0, 384.0, 1186.0]","[74.0, 66.0, 1161.0, 117.0, 811.0, 100.0, 97.0, 66.0]",36088,,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,,,FALSE,,,,,3,3,2,战略合作
Comp_06374,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our2,lg,TV,35.164.85.119,,TCP,,ec2-35-164-85-119.us-west-2.compute.amazonaws.com,ec2-35-164-85-119.us-west-2.compute.amazonaws.com,"[74.0, 74.0, 66.0, 66.0, 583.0, 583.0, 66.0, 66.0, 384.0, 384.0, 1186.0, 1186.0]","[74.0, 74.0, 66.0, 66.0, 1161.0, 1161.0, 117.0, 117.0, 845.0, 845.0, 97.0, 97.0, 66.0]",36564,,ec2-35-164-85-119.us-west-2.compute.amazonaws.com,,ec2-35-164-85-119.us-west-2.compute.amazonaws.com,,,FALSE,,,,,3,3,2,战略合作
Comp_06402,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",Amazon Echo Gen2_Our,amazon,Speaker,52.10.65.197,,TCP,,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,"[74.0, 66.0, 583.0, 66.0, 384.0, 1053.0]","[74.0, 66.0, 1161.0, 117.0, 819.0, 66.0]",17965,,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,,ec2-52-10-65-197.us-west-2.compute.amazonaws.com,,,FALSE,,,,,3,3,2,战略合作
Comp_06402,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our,lg,TV,52.42.194.252,,TCP,,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,"[74.0, 66.0, 583.0, 66.0, 384.0, 1053.0]","[74.0, 66.0, 1161.0, 117.0, 819.0, 66.0]",36101,,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,,ec2-52-42-194-252.us-west-2.compute.amazonaws.com,,,FALSE,,,,,3,3,2,战略合作
Comp_06402,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our2,lg,TV,34.212.69.184,,TCP,,ec2-34-212-69-184.us-west-2.compute.amazonaws.com,ec2-34-212-69-184.us-west-2.compute.amazonaws.com,"[74.0, 74.0, 66.0, 66.0, 583.0, 583.0, 66.0, 66.0, 384.0, 384.0, 1186.0, 1186.0]","[74.0, 74.0, 66.0, 66.0, 1161.0, 1161.0, 117.0, 117.0, 131.0, 131.0, 811.0, 811.0, 66.0]",36572,,ec2-34-212-69-184.us-west-2.compute.amazonaws.com,,ec2-34-212-69-184.us-west-2.compute.amazonaws.com,,,FALSE,,,,,3,3,2,战略合作
Comp_14446,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",Amazon Echo Gen2_Our,amazon,Speaker,172.217.15.67,,TCP,,iad23s63-in-f3.1e100.net,iad23s63-in-f3.1e100.net,"[74.0, 66.0, 573.0, 66.0, 182.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]","[74.0, 66.0, 234.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]",17911,,iad23s63-in-f3.1e100.net,,iad23s63-in-f3.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_14446,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our,lg,TV,172.217.164.150,,TCP,,iad30s24-in-f22.1e100.net,iad30s24-in-f22.1e100.net,"[74.0, 66.0, 569.0, 66.0, 182.0, 66.0, 66.0, 66.0, 66.0, 66.0]","[74.0, 66.0, 234.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]",36048,,iad30s24-in-f22.1e100.net,,iad30s24-in-f22.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_14446,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our2,lg,TV,172.217.9.194,,TCP,,iad30s14-in-f2.1e100.net,iad30s14-in-f2.1e100.net,"[74.0, 74.0, 66.0, 66.0, 587.0, 587.0, 66.0, 66.0, 182.0, 182.0, 66.0, 66.0, 66.0, 66.0]","[74.0, 74.0, 66.0, 66.0, 234.0, 234.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]",36558,,iad30s14-in-f2.1e100.net,,iad30s14-in-f2.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_20210,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",Amazon Echo Gen2_Our,amazon,Speaker,172.217.15.66,,TCP,,iad23s63-in-f2.1e100.net,iad23s63-in-f2.1e100.net,"[74.0, 66.0, 588.0, 66.0, 182.0, 833.0, 66.0, 66.0, 66.0, 66.0, 66.0]","[74.0, 66.0, 234.0, 66.0, 716.0, 66.0, 66.0, 66.0, 66.0, 66.0]",17900,,iad23s63-in-f2.1e100.net,,iad23s63-in-f2.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_20210,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our,lg,TV,172.217.8.6,,TCP,,iad23s59-in-f6.1e100.net,iad23s59-in-f6.1e100.net,"[74.0, 66.0, 576.0, 66.0, 182.0, 809.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]","[74.0, 66.0, 234.0, 66.0, 803.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]",36013,,iad23s59-in-f6.1e100.net,,iad23s59-in-f6.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_20210,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our2,lg,TV,142.250.31.105,,TCP,,bj-in-f105.1e100.net,bj-in-f105.1e100.net,"[74.0, 74.0, 66.0, 66.0, 572.0, 572.0, 66.0, 66.0, 182.0, 182.0, 634.0, 634.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]","[74.0, 74.0, 66.0, 66.0, 234.0, 234.0, 66.0, 66.0, 707.0, 707.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]",36480,,bj-in-f105.1e100.net,,bj-in-f105.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_30554,3,"Shuixing Camera_selfdata,TP-Link Camera_selfdata,TP-Link Doorbell_selfdata",1,"2TP-Link,1Shuixing",1,"2Camera,1Doorbell",Shuixing Camera_selfdata,shuixing,Camera,122.192.134.241,,TCP,transmitws-ipc-txc-nj-00.mercuryclouds.com.cn,,transmitws-ipc-txc-nj-00.mercuryclouds.com.cn,"[74.0, 54.0, 120.0, 54.0, 54.0, 54.0, 321.0, 129.0, 54.0, 811.0, 54.0, 283.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 283.0]","[66.0, 54.0, 1470.0, 1470.0, 667.0, 54.0, 54.0, 129.0, 54.0, 443.0, 283.0, 54.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 299.0, 54.0, 107.0, 54.0]",1327,transmitws-ipc-txc-nj-00.mercuryclouds.com.cn,,transmitws-ipc-txc-nj-00.mercuryclouds.com.cn,,transmitws-ipc-txc-nj-00.mercuryclouds.com.cn,,FALSE,,,,,3,3,2,母子公司关系
Comp_30554,3,"Shuixing Camera_selfdata,TP-Link Camera_selfdata,TP-Link Doorbell_selfdata",1,"2TP-Link,1Shuixing",1,"2Camera,1Doorbell",TP-Link Camera_selfdata,tp-link,Camera,223.109.212.212,,TCP,n-relayws-ipc-txc-nj-00.tplinkcloud.com.cn,,n-relayws-ipc-txc-nj-00.tplinkcloud.com.cn,"[74.0, 54.0, 120.0, 54.0, 54.0, 321.0, 129.0, 54.0, 811.0, 54.0, 54.0, 283.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 283.0]","[58.0, 54.0, 1514.0, 843.0, 54.0, 54.0, 129.0, 54.0, 443.0, 283.0, 54.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 299.0, 54.0, 107.0, 54.0]",9432,n-relayws-ipc-txc-nj-00.tplinkcloud.com.cn,,n-relayws-ipc-txc-nj-00.tplinkcloud.com.cn,,n-relayws-ipc-txc-nj-00.tplinkcloud.com.cn,,FALSE,,,,,3,3,2,母子公司关系
Comp_30554,3,"Shuixing Camera_selfdata,TP-Link Camera_selfdata,TP-Link Doorbell_selfdata",1,"2TP-Link,1Shuixing",1,"2Camera,1Doorbell",TP-Link Doorbell_selfdata,tp-link,Doorbell,1.13.112.141,,TCP,,n-relayws-ipc.tplinkcloud.com.cn,n-relayws-ipc.tplinkcloud.com.cn,"[74.0, 54.0, 120.0, 54.0, 54.0, 321.0, 129.0, 54.0, 827.0, 54.0, 283.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 283.0]","[66.0, 54.0, 1486.0, 871.0, 54.0, 54.0, 129.0, 54.0, 443.0, 283.0, 54.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 1147.0, 299.0, 54.0, 107.0, 54.0]",10197,,n-relayws-ipc.tplinkcloud.com.cn,,n-relayws-ipc.tplinkcloud.com.cn,,n-relayws-ipc.tplinkcloud.com.cn,FALSE,,,,,3,3,2,母子公司关系
Comp_34945,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",Amazon Echo Gen2_Our,amazon,Speaker,172.217.13.228,,TCP,,iad23s61-in-f4.1e100.net,iad23s61-in-f4.1e100.net,"[74.0, 66.0, 572.0, 66.0, 182.0, 714.0, 66.0, 66.0, 708.0, 66.0, 66.0, 66.0, 66.0, 66.0]","[74.0, 66.0, 234.0, 66.0, 826.0, 66.0, 66.0, 826.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]",17824,,iad23s61-in-f4.1e100.net,,iad23s61-in-f4.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_34945,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our,lg,TV,172.217.15.98,,TCP,,iad30s21-in-f2.1e100.net,iad30s21-in-f2.1e100.net,"[74.0, 66.0, 588.0, 66.0, 182.0, 833.0, 66.0, 833.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]","[74.0, 66.0, 234.0, 66.0, 716.0, 66.0, 716.0, 716.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]",35999,,iad30s21-in-f2.1e100.net,,iad30s21-in-f2.1e100.net,,,FALSE,,,,,3,3,2,战略合作
Comp_34945,3,"Amazon Echo Gen2_Our,LG Smart TV_Our,LG Smart TV_Our2",1,"2LG,1Amazon",1,"2TV,1Speaker",LG Smart TV_Our2,lg,TV,172.217.164.164,,TCP,,iad23s69-in-f4.1e100.net,iad23s69-in-f4.1e100.net,"[74.0, 74.0, 66.0, 66.0, 572.0, 572.0, 66.0, 66.0, 182.0, 182.0, 882.0, 882.0, 66.0, 66.0, 634.0, 634.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]","[74.0, 74.0, 66.0, 66.0, 234.0, 234.0, 66.0, 66.0, 841.0, 841.0, 66.0, 66.0, 707.0, 707.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0]",36460,,iad23s69-in-f4.1e100.net,,iad23s69-in-f4.1e100.net,,,FALSE,,,,,3,3,2,战略合作
